아파트명,기수,진행상황,계약완료,타사선정,수주가능성,이슈
"신내 데시앙 포레 ",92,3차입대의 대기,진행중,,50%,"offer과다, 경쟁, 공사비용"
운정 벽산 블루밍,64,공사비 분담 의사결정중,진행중,,50%,"계약해지, 공사비용, 기수"
북한산 아이파크,60,3차입대의 대기,진행중,시작 전,80%,"offer과다, 경쟁, 실사결과"
"창동 아이파크 2단지, 3단지",15,실사완료,진행중,,50%,아파트 내부문제
포천 태봉마을 3단지,36,계약대기,진행중,,80%,"아파트 내부문제, 표결"
분당 청솔마을,20,아파트 사정 보류,진행중,,50%,아파트 내부문제
분당 하얀마을,17,아파트 사정 보류,진행중,,50%,"서류수취, 아파트 내부문제"
분당 한솔마을,19,실사요청,진행중,,50%,"경쟁, 아마노코리아고문"
숭파 시그니처,42,입대의 3월이후 연기,진행중,,50%,"소장교체, 아파트 내부문제"
"시흥 LH포레미엘더파크 ",22,1차 입대의완료,진행중,,80%,"1차입대의 5%만 의결, 2차입대의에 결정"
수택주공,5,실사요청,진행중,,50%,"경쟁, 공사비용"
